,,Supplier X Manufacturing Sites ($/lamp),,,Decription US Mexico China Comments,Risks,,,,,,,
,,US,MX,China,,,,,,US,MX,China,
,Raw material ,40,35,30,Raw material assumed procured locally within each region,,,,,,,,
,Labor ,12,8,4,Direct labor rates,,,,,0.57,0.26,0.13,
,Indirect costs ,10,8,4,"Selling expense, management, financial expenses",,,,,,,,
,Electricity costs ,4,3,4,Cost/lamp based on Kwh rates,,,,,,,,
,"Packaging, transportation, and inventory carrying costs ",9,7,12,Costs assuming sold within each region,,,,,0.43,0.23,0.39,
,Depreciation costs ,5,1,5,Depreciation is lower in MX due to use of existing equipment,,,,,,,,
,Total costs,80,62,59,"Total costs before yield adjustment, and tariff consideration",,,,,,,,
,Production yield (till ramp is achieved) - 6 months ,80%,90%,95%,Yield rates during initial 6 months and then it’s the same,,,,,,,,
,Yield-Adjusted Cost before tariff,100.00,68.89,62.11,Total cost ,,,,,,,,
,Tariff costs ,0,15.5,15,Tariff assumed at 25% each,,,,,0.00,0.51,0.48,
,,,,,,,,,,,,,
,Yield-Adjusted Cost after tariff,100.00,84.39,77.11,,,,,,,,,
,,,,"China has the lowest initial production cost and the highest yield, making it the cheapest on a per-good-part basis, before factoring in logistics and tariffs.",,,,,,,,,
,-we could mke4 senarios that keep in mind LT goals. ,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Tariff,,,,,,,,,,,,
,,USA,US,US,Mexico,Mexico,Mexico,China,China,China,US,MX,China
,Raw material ,40,40,40,35,35,35,30,30,30,40,35,30
,Labor ,12,12,12,8,8,8,4,4,4,12,8,4
,Indirect costs ,10,10,10,8,8,8,4,4,4,10,8,4
,Electricity costs ,4,4,4,3,3,3,4,4,4,4,3,4
,Depreciation costs ,5,5,5,1,1,1,5,5,5,5,1,5
,Total costs,71,71,71,55,55,55,47,47,47,71,55,47
,Tariff costs ,0,0,0,15.5,15.5,15.5,15,15,15,0,15.5,15
,"Packaging, transportation, and inventory carrying costs ",9,9,9,7,7,7,12,12,12,9,7,12
,,,,,,,,,,,,,
,Yield-Adjusted Cost after tariff,80.00,80.00,80.00,77.50,77.50,77.50,74.00,74.00,74.00,80.00,77.50,74.00
,,quartile lower,average,interquartile,quartile lower,average,interquartile,quartile lower,average,interquartile,,,
,,USA,USA,USA,Mexico,Mexico,Mexico,China,China,China,,,
,,USA,,,Mexico,,,China,,,,,
,Risk Factor,Bull Case,Base Case,Bear Case,Bull Case,Base Case,Bear Case,Bull Case,Base Case,Bear Case,,,
,Inflation,0.1,2.8,8.0,2.7,4.7,7.9,0.2,1.6,2.9,,,
,Exchange Rate,0.0,0.0,0.0,13.3,18.5,21.5,6.2,6.7,7.2,,,
,,,,,-0.3,0.0,0.2,-0.1,0.0,0.1,,,
,Inflation+exhcnage rate,0.1,2.8,8.0,2.4,4.7,8.1,0.1,1.6,3.0,,,
,Transportation Cost,1.02,1.00,0.97,1.03,1.00,0.95,1.03,1.00,0.98,,,
,Labor,,1.46,,,1.00,,,0.89,,,,
,,,,,,,,,,,,,
,Total cost after adj,71.08,72.96,76.68,56.34,57.57,59.43,47.06,47.76,48.40,,,
,after tariff,71.08,72.96,76.68,56.34,57.57,59.43,47.06,47.76,48.40,,,
,Packaging transportation,8.82,9.25,9.99,6.99,7.33,7.96,11.67,12.19,12.61,,,
,,,,,,,,,,,,,
,Total cost 6 months,79.91,82.21,86.67,63.33,64.90,67.39,58.73,59.95,61.01,,,
